,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
18,0,0,1,1,0.1267605633802817,1,0,0,0,0,1,1,0,0,0,0,3,0.3676616915422886,0.05879875375028851,1
19,0,0,0,0,0.28169014084507044,1,0,1,0,1,1,0,0,1,0,1,0,0.7144278606965174,0.21279713824140326,0
20,1,1,0,0,0.0,0,2,0,0,0,1,0,0,1,0,1,0,0.21293532338308463,0.0024059543041772447,1
21,1,0,1,0,0.15492957746478872,1,0,2,2,2,2,2,2,2,1,0,2,0.015422885572139309,0.021168936072005543,0
22,1,0,0,0,0.0,1,0,2,2,2,2,2,2,2,0,0,1,0.018905472636815888,0.00015578121393953345,1
23,0,0,1,0,0.8028169014084507,1,1,0,0,1,0,1,0,0,2,1,3,0.4144278606965175,0.4022963304869606,0
24,1,0,1,1,0.676056338028169,1,0,0,1,1,0,1,0,0,0,0,3,0.4114427860696519,0.3405838910685438,0
25,0,0,0,0,0.4084507042253521,1,0,0,1,1,0,0,0,0,0,1,2,0.3686567164179105,0.17445188091391647,0
26,1,0,1,1,0.647887323943662,1,1,1,0,1,0,0,1,1,0,1,0,0.8069651741293534,0.5458516039695361,1
27,1,0,1,1,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0.11890547263681592,0.0013154858066005079,1
28,1,0,1,0,1.0,1,1,0,1,1,1,1,1,1,2,1,3,0.7164179104477613,0.7328236787445189,0
29,0,0,0,1,0.22535211267605634,1,0,0,0,0,0,0,1,1,0,1,1,0.4621890547263683,0.12396722824832682,1
30,0,1,1,0,0.9859154929577465,1,1,1,1,1,1,1,0,0,2,1,3,0.7771144278606966,0.7786925917378262,0
31,1,1,1,0,0.014084507042253521,1,0,1,0,0,1,0,1,1,0,1,3,0.7686567164179107,0.018791830140780064,0
32,0,0,1,1,0.36619718309859156,1,0,0,1,1,1,1,0,0,1,0,1,0.47661691542288576,0.21412993307177483,0
33,1,0,0,0,0.0,1,0,2,2,2,2,2,2,2,0,0,2,0.019402985074626847,0.00016155088852988673,0
34,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,2,0.2686567164179105,0.003052157858296793,0
35,0,0,1,1,1.0,1,1,1,1,1,0,1,1,0,2,0,2,0.8124378109452739,0.8346295868912995,0
36,1,0,0,0,0.056338028169014086,1,0,1,0,0,0,0,0,0,0,1,0,0.5119402985074628,0.03439879990768521,1
37,0,0,0,0,0.6338028169014085,1,0,1,0,0,1,0,0,0,0,1,3,0.5626865671641792,0.40728132933302574,0
38,1,0,0,0,0.46478873239436624,1,1,1,0,1,1,0,1,1,0,1,0,0.8766169154228857,0.40739095315024243,1
39,0,0,0,0,0.14084507042253522,1,1,1,0,0,1,0,1,1,0,1,2,0.792039800995025,0.1253865681975537,1
40,1,0,1,1,0.1267605633802817,1,0,0,0,1,0,0,0,0,1,0,1,0.31144278606965176,0.05272328640664668,0
41,0,0,1,1,0.971830985915493,1,1,0,1,1,0,0,1,0,2,1,3,0.5069651741293534,0.5600680821601663,0
42,0,0,1,1,0.22535211267605634,1,0,2,2,2,2,2,2,2,1,0,1,0.02487562189054727,0.04609393030233096,0
43,0,0,0,0,0.8732394366197184,1,1,0,1,1,1,1,1,0,2,1,3,0.6129353233830847,0.5588102930994693,0
44,0,0,1,0,0.16901408450704225,1,1,0,1,1,0,1,1,0,0,1,0,0.5766169154228857,0.11108354488806835,0
45,0,0,0,0,0.676056338028169,1,1,1,0,0,0,0,0,1,0,1,0,0.6592039800995025,0.44863835679667674,0
46,1,0,0,0,0.014084507042253521,1,0,0,0,1,0,0,0,0,0,0,1,0.3084577114427861,0.009023771059312258,0
47,0,0,0,0,0.014084507042253521,1,0,1,0,0,0,0,1,0,0,1,0,0.6208955223880599,0.014464574198015237,1
48,1,0,0,0,0.7183098591549296,1,1,0,1,0,0,1,1,1,2,1,3,0.6119402985074628,0.4845372720978538,0
49,0,0,1,1,0.9577464788732395,1,1,0,1,0,1,1,0,0,2,1,3,0.4567164179104479,0.4887260558504502,0
50,0,1,0,0,0.5915492957746479,1,1,1,0,1,0,0,1,0,0,1,0,0.7164179104477613,0.4407973690283869,0
51,0,0,0,0,0.19718309859154928,1,0,1,1,1,0,0,1,1,0,1,3,0.8044776119402987,0.16242787906762063,1
52,0,1,1,0,0.33802816901408456,1,1,0,1,0,0,1,1,0,0,1,3,0.509950248756219,0.20007500576967466,0
53,0,1,1,0,0.09859154929577466,1,1,1,0,1,0,0,0,0,0,1,3,0.6208955223880599,0.07090930071543966,1
54,0,1,1,1,0.8309859154929577,1,0,0,1,1,1,1,0,1,1,1,3,0.5631840796019901,0.5120643895684285,0
55,1,1,0,0,0.23943661971830985,1,1,1,0,0,0,0,1,1,0,1,0,0.7681592039800997,0.20006346642049394,1
56,0,0,1,1,0.8732394366197184,1,1,1,1,0,0,0,1,1,1,1,3,0.8099502487562191,0.7261020078467575,0
57,1,1,1,1,0.9154929577464789,1,1,1,0,1,1,1,1,1,1,1,0,0.8975124378109455,0.8143953381029313,0
58,0,0,1,1,0.46478873239436624,1,1,2,2,2,2,2,2,2,2,0,3,0.06666666666666667,0.10102700207708289,0
59,0,0,0,0,1.0,1,1,1,0,0,1,1,1,1,2,1,3,0.8880597014925374,0.904096468959151,0
60,0,0,1,0,0.647887323943662,1,1,1,0,0,1,0,1,1,0,1,0,0.8184079601990052,0.5409993076390494,0
61,1,0,0,0,0.8309859154929577,1,1,1,0,1,0,0,1,0,0,1,2,0.7129353233830847,0.6268059081467806,0
62,1,0,1,0,1.0,0,2,0,1,1,1,0,0,0,2,0,2,0.23731343283582096,0.33962612508654516,0
63,0,0,1,1,0.23943661971830985,1,0,0,0,0,1,1,0,0,1,1,3,0.3597014925373135,0.10827371336256639,0
64,0,0,0,0,0.11267605633802817,1,1,1,0,0,0,0,1,1,0,0,0,0.7577114427860699,0.09675167320563123,1
65,0,0,0,0,0.02816901408450704,1,0,0,0,1,0,1,1,1,0,1,0,0.5676616915422886,0.025998153704131093,0
66,1,0,1,0,0.647887323943662,1,1,1,0,1,0,0,0,0,1,1,0,0.6034825870646767,0.4190572351719364,0
67,0,0,0,0,0.4225352112676057,1,0,0,0,1,1,1,1,1,2,0,1,0.6064676616915424,0.2859912300946227,0
68,0,0,1,1,0.6901408450704226,1,0,2,2,2,2,2,2,2,2,0,2,0.018905472636815888,0.10525040387722136,0
69,1,0,0,0,0.1267605633802817,1,0,1,1,0,1,0,0,0,0,1,1,0.6129353233830847,0.1002250173090238,0
70,1,0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0.3064676616915423,0.0034906531271636284,0
71,0,0,1,1,0.7183098591549296,1,0,2,2,2,2,2,2,2,1,1,0,0.02139303482587063,0.12368451419339954,0
72,1,1,1,1,0.8873239436619719,1,1,1,1,0,1,1,1,1,2,1,2,0.928855721393035,0.8170090006923612,0
73,1,0,1,1,0.8591549295774649,1,1,2,2,2,2,2,2,2,2,1,2,0.059701492537313425,0.1622201707823679,0
74,0,0,0,1,0.02816901408450704,1,0,0,1,0,0,1,0,1,0,1,2,0.46019900497512445,0.01830140780060005,0
75,0,1,0,0,0.7746478873239437,1,1,1,1,1,1,0,1,1,1,0,0,0.9179104477611942,0.706288945303485,0
76,0,0,0,0,0.6338028169014085,1,0,0,0,0,0,0,0,1,1,0,3,0.3721393034825871,0.3081063927994461,0
77,0,0,1,1,0.09859154929577466,1,0,0,1,1,0,0,0,0,0,0,1,0.36218905472636814,0.053479113777982944,0
78,1,1,0,0,0.4084507042253521,1,0,0,1,1,0,0,1,1,0,1,0,0.5621890547263683,0.2414608816062775,0
79,0,0,1,1,0.619718309859155,1,1,2,2,2,2,2,2,2,1,1,3,0.0761194029850746,0.13821832448649898,0
80,0,0,0,1,0.0,1,0,1,0,0,0,0,1,0,0,1,0,0.6079601990049751,0.006987075928917611,1
81,0,0,1,1,0.14084507042253522,0,2,0,1,0,0,0,1,1,0,0,0,0.3213930348258706,0.0630683129471498,0
82,0,0,1,0,0.08450704225352114,1,0,1,0,0,1,0,0,0,0,1,2,0.5661691542288558,0.0551696284329564,1
83,0,0,0,0,0.5774647887323944,1,0,1,0,1,1,1,1,1,0,1,2,0.8512437810945276,0.4971959381490885,0
84,0,0,1,0,0.676056338028169,1,0,2,2,2,2,2,2,2,2,1,2,0.018905472636815888,0.11014885760443115,0
85,1,0,0,0,0.11267605633802817,1,1,1,0,1,0,0,1,1,0,1,3,0.8064676616915425,0.10384837295176555,0
86,0,0,1,0,0.47887323943661975,1,0,0,1,0,0,0,1,0,1,1,2,0.43681592039801,0.25347911377798293,0
87,0,0,1,1,0.6619718309859155,1,0,2,2,2,2,2,2,2,2,0,2,0.02388059701492535,0.11980152319409189,0
88,0,0,1,1,0.6338028169014085,1,0,2,2,2,2,2,2,2,2,1,1,0.016915422885572132,0.10481190860835453,0
89,1,0,1,0,0.3943661971830986,0,2,0,0,0,0,0,1,0,0,0,1,0.15422885572139303,0.11429148396030467,0
90,1,0,1,1,0.4084507042253521,1,0,1,0,1,1,0,0,0,0,0,2,0.6348258706467662,0.2944149549965382,0
91,1,1,0,0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0.5616915422885573,0.006450496192014773,0
92,1,0,1,1,0.9154929577464789,1,1,0,1,0,1,1,1,1,2,1,1,0.6542288557213931,0.6572178629125318,0
93,0,0,0,0,0.9014084507042254,1,1,1,1,1,1,0,1,1,0,1,3,0.9233830845771146,0.8179321486268177,0
94,1,0,0,0,1.0,1,1,1,0,1,1,0,1,1,2,1,2,0.8223880597014929,0.8585564274174939,0
95,0,0,0,0,0.15492957746478872,1,1,1,1,0,0,0,0,0,0,1,0,0.6039800995024877,0.1048407569813063,1
96,1,0,1,1,0.9859154929577465,1,1,0,1,1,0,1,0,0,1,1,3,0.4835820895522388,0.5457996768982231,0
97,1,0,0,0,0.056338028169014086,1,0,2,2,2,2,2,2,2,0,0,1,0.027860696517412943,0.010968151396261254,1
98,1,0,0,0,0.7183098591549296,1,0,2,2,2,2,2,2,2,2,0,2,0.027363184079601983,0.1255942764828064,0
99,0,1,1,0,0.33802816901408456,1,0,1,0,1,1,0,1,1,0,1,0,0.7985074626865674,0.28798753750288486,1
100,1,0,0,0,0.0,1,0,2,2,2,2,2,2,2,0,0,1,0.019402985074626847,0.00016155088852988673,0
101,0,0,1,1,0.0,1,0,2,2,2,2,2,2,2,0,0,0,0.011940298507462675,7.500576967459008e-05,0
102,1,0,0,0,0.5211267605633804,1,1,1,0,0,1,1,1,0,1,0,2,0.7636815920398012,0.4138933764135704,0
103,0,1,1,0,0.9154929577464789,0,2,0,0,1,1,0,1,0,1,0,2,0.27164179104477615,0.34715555042695595,0
104,1,0,1,0,0.943661971830986,1,1,1,0,1,1,1,1,1,2,1,2,0.9129353233830847,0.876188552965613,1
105,1,0,0,0,0.056338028169014086,0,2,0,0,0,0,0,0,0,0,0,1,0.060199004975124384,0.009393030233094854,0
106,0,0,1,1,1.0,1,1,1,1,1,0,0,1,1,1,1,0,0.8547263681592042,0.8405550426955922,0
107,0,0,0,0,0.4366197183098592,0,2,0,1,0,0,0,0,0,1,0,1,0.11840796019900499,0.1048753750288484,0
108,1,0,0,0,0.5915492957746479,1,1,1,0,0,0,0,1,1,1,0,1,0.7572139303482589,0.4503231017770599,0
109,1,0,1,1,1.0,1,0,2,2,2,2,2,2,2,2,0,3,0.011442786069651713,0.15514078006000465,0
110,1,0,1,0,0.7605633802816901,1,1,1,1,1,0,0,1,0,0,1,0,0.7810945273631843,0.6023655665820449,1
111,0,0,0,0,0.7183098591549296,1,0,0,1,0,1,1,0,0,1,0,3,0.3950248756218907,0.3488864528040619,0
112,0,0,0,0,0.5915492957746479,1,0,1,0,1,1,0,1,0,0,1,0,0.7303482587064678,0.4541080083083315,0
113,0,1,1,0,0.5070422535211268,1,1,1,0,0,0,0,0,0,0,1,0,0.5796019900497513,0.32879644588045237,1
114,0,0,1,1,0.8873239436619719,0,2,0,0,1,0,1,1,1,2,1,0,0.3616915422885573,0.3928802215555044,0
115,1,0,1,1,0.02816901408450704,1,0,1,1,1,0,0,1,0,0,0,0,0.7124378109452737,0.02649434571890146,0
116,0,0,0,0,0.49295774647887325,0,2,0,1,0,0,0,0,0,2,0,2,0.12736318407960204,0.12780406185091164,0
117,0,0,1,1,0.1267605633802817,1,1,1,1,0,0,0,1,1,0,1,0,0.8159203980099504,0.12068428340641592,1
118,0,0,0,0,0.5633802816901409,1,0,2,2,2,2,2,2,2,2,0,1,0.02388059701492535,0.09420147703669517,0
119,1,0,1,1,0.36619718309859156,1,1,1,0,1,0,1,0,0,0,1,3,0.6661691542288558,0.24611123932610207,0
120,0,0,1,1,0.7746478873239437,1,1,1,0,0,1,0,1,1,1,1,3,0.8114427860696519,0.6342776367412879,0
121,0,0,0,0,0.07042253521126761,1,0,2,2,2,2,2,2,2,0,0,1,0.02437810945273631,0.010841218555273485,0
122,1,0,0,0,0.02816901408450704,1,1,1,0,0,0,0,0,0,0,1,0,0.5587064676616917,0.024319178398338342,1
123,0,0,1,1,0.08450704225352114,1,0,0,1,0,0,0,0,0,0,0,1,0.3228855721393035,0.038258712208631446,0
124,0,0,1,1,0.04225352112676056,1,0,2,2,2,2,2,2,2,0,0,1,0.02587064676616916,0.005088852988691438,0
125,1,0,0,0,0.4507042253521127,1,0,1,1,0,0,1,1,0,2,1,0,0.7034825870646767,0.3472017078236788,0
126,0,1,0,0,0.36619718309859156,1,1,1,0,0,1,0,0,0,0,1,0,0.5950248756218907,0.2442534041080084,1
127,1,0,1,0,1.0,1,1,2,2,2,2,2,2,2,2,1,2,0.05273631840796021,0.19676321255481197,0
128,1,0,0,0,0.0,1,0,2,2,2,2,2,2,2,0,0,1,0.01492537313432835,0.00010962381721670893,0
129,1,1,0,0,0.9859154929577465,0,2,0,1,1,0,0,1,1,1,1,0,0.3800995024875623,0.4577140549273022,0
130,0,0,0,0,0.16901408450704225,1,1,1,0,0,0,0,0,1,0,1,0,0.67363184079602,0.1381087006692823,0
131,0,0,1,1,0.33802816901408456,0,2,0,1,1,1,0,1,1,0,1,3,0.40149253731343293,0.17122663281790912,1
132,1,0,0,0,0.9295774647887325,1,0,0,0,0,0,1,0,0,2,0,2,0.3213930348258706,0.37402492499423035,0
133,1,0,0,0,0.0,0,2,0,0,0,0,0,0,1,0,1,0,0.1711442786069652,0.0019213016385875845,1
134,1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0,0,0,0.2597014925373135,0.007206323563351029,1
135,0,0,0,0,0.5915492957746479,1,1,2,2,2,2,2,2,2,2,1,3,0.07412935323383087,0.13494114931917844,0
136,0,0,0,0,0.3098591549295775,1,0,1,1,0,0,0,0,0,0,1,2,0.5646766169154229,0.2030579275328872,0
137,0,0,1,1,0.8873239436619719,1,0,2,2,2,2,2,2,2,2,0,1,0.019402985074626847,0.14527463651050085,0
138,1,0,0,1,0.7887323943661972,1,0,2,2,2,2,2,2,2,2,1,1,0.013432835820895526,0.13290445418878377,0
139,0,1,1,0,0.0,1,0,1,0,0,0,0,0,0,0,1,1,0.519402985074627,0.005960073851834758,1
140,0,1,1,1,1.0,1,1,0,1,1,1,1,1,1,2,1,3,0.6945273631840797,0.7393087929840758,0
141,0,0,0,0,0.09859154929577466,1,1,0,1,0,0,1,0,1,0,0,0,0.5263681592039803,0.0628721440110778,1
142,0,0,1,0,0.8450704225352113,1,1,1,0,1,0,0,1,1,2,1,2,0.8238805970149256,0.6868739903069468,0
143,1,0,0,0,0.8873239436619719,1,1,1,1,1,0,0,0,0,1,1,3,0.6572139303482588,0.6081525501961691,0
144,1,1,1,0,0.9859154929577465,1,1,2,2,2,2,2,2,2,2,0,2,0.05671641791044775,0.20048465266558974,0
145,0,0,1,1,0.9014084507042254,1,1,1,1,1,0,1,1,0,2,1,3,0.8039800995024877,0.7382760212324025,0
146,1,0,0,0,0.02816901408450704,1,0,2,2,2,2,2,2,2,1,0,1,0.013432835820895526,0.0049099930763904925,0
147,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0.272636815920398,0.0030983152550196173,1
148,1,0,0,1,0.4084507042253521,1,0,0,0,1,1,0,1,0,1,0,3,0.46019900497512445,0.22053427186706678,0
149,1,0,1,1,0.19718309859154928,1,0,0,0,1,1,1,0,1,0,1,1,0.509950248756219,0.12146318947611359,0
150,0,0,1,1,0.09859154929577466,1,0,0,0,0,0,1,1,1,0,1,0,0.500497512437811,0.06295291945534275,0
151,1,0,0,0,0.08450704225352114,1,1,1,0,0,0,0,1,1,0,0,1,0.7636815920398012,0.07347103623355644,1
152,0,0,1,1,0.971830985915493,1,1,1,1,1,1,0,1,1,1,1,3,0.8945273631840799,0.9129644588045237,0
153,1,0,1,1,0.8591549295774649,1,0,0,1,1,1,1,1,1,2,0,0,0.6751243781094528,0.5996365105008079,0
154,0,0,1,1,0.07042253521126761,1,0,2,2,2,2,2,2,2,0,0,1,0.01442786069651739,0.010927763674128782,0
155,0,0,1,1,0.18309859154929578,1,0,1,0,0,0,0,0,1,0,1,2,0.6233830845771146,0.13085621970920844,0
156,0,0,0,0,0.295774647887324,1,1,1,0,0,0,0,1,0,0,1,2,0.655721393034826,0.20807177475190405,0
157,1,0,1,1,0.295774647887324,1,0,2,2,2,2,2,2,2,1,0,1,0.018905472636815888,0.04628432956381261,0
158,1,0,1,1,0.2112676056338028,1,0,0,1,0,1,0,1,0,2,0,1,0.4577114427860698,0.11599353796445884,0
159,1,0,0,0,0.1267605633802817,1,1,2,2,2,2,2,2,2,2,0,2,0.07412935323383087,0.026863604892684058,0
160,0,0,0,1,0.16901408450704225,1,0,0,1,1,0,0,0,0,0,1,0,0.3756218905472638,0.08605469651511656,0
161,0,0,1,0,0.26760563380281693,1,1,1,1,0,0,0,0,0,0,0,0,0.638308457711443,0.18157742903300256,1
162,0,0,0,0,0.014084507042253521,1,0,1,0,0,0,0,0,0,0,1,0,0.5119402985074628,0.013431802446342029,0
163,1,0,0,0,0.7323943661971831,1,1,0,0,1,1,1,0,1,2,1,2,0.5537313432835822,0.45458689129933083,0
164,0,0,1,1,0.14084507042253522,1,0,2,2,2,2,2,2,2,1,0,1,0.02338308457711444,0.024821140087699062,0
165,1,0,1,0,0.9577464788732395,1,0,2,2,2,2,2,2,2,2,0,1,0.016417910447761173,0.15516385875836608,0
166,0,0,0,0,0.04225352112676056,1,0,1,0,0,0,0,0,0,0,1,2,0.5238805970149255,0.02933302561735519,1
167,1,0,1,0,1.0,1,1,0,1,1,1,1,1,1,2,1,2,0.7044776119402986,0.7195534271867068,0
168,1,1,1,0,0.8028169014084507,0,2,0,0,1,1,0,0,1,0,1,0,0.2691542288557214,0.3037618278329102,1
169,0,0,1,1,0.2112676056338028,1,0,2,2,2,2,2,2,2,0,0,0,0.02139303482587063,0.034918070620817,0
170,1,0,1,0,0.5915492957746479,1,0,1,1,0,1,1,0,0,1,1,2,0.6567164179104479,0.4062370182321718,0
171,0,0,1,0,0.014084507042253521,1,1,1,0,0,1,1,1,1,0,1,0,0.857213930348259,0.025848142164781915,1
172,1,0,1,0,0.18309859154929578,1,0,0,0,1,1,1,1,1,2,0,1,0.6338308457711443,0.13419686129702288,0
173,0,0,1,0,0.7323943661971831,1,0,1,0,0,1,0,1,1,1,1,2,0.7621890547263683,0.5748211400876991,1
174,0,0,0,0,0.4366197183098592,1,0,2,2,2,2,2,2,2,1,0,2,0.022885572139303482,0.07336141241633973,0
175,0,0,1,0,0.46478873239436624,1,1,2,2,2,2,2,2,2,0,0,0,0.06417910447761192,0.08786060466189709,0
176,0,1,0,0,0.19718309859154928,1,1,1,0,0,0,0,0,0,0,1,1,0.5592039800995026,0.1300369259173783,1
177,0,1,0,0,0.08450704225352114,1,0,1,1,0,0,0,0,0,0,0,2,0.5791044776119404,0.05594276482806372,1
178,0,0,1,1,0.19718309859154928,1,1,1,0,1,1,0,1,1,0,1,2,0.8666666666666668,0.17775790445418882,0
179,1,0,1,0,0.8450704225352113,1,0,2,2,2,2,2,2,2,1,1,3,0.022885572139303482,0.142303254096469,0
180,0,0,0,0,0.0,0,2,0,0,1,0,0,0,0,0,0,2,0.1164179104477612,0.0012866374336487423,1
181,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0.2691542288557214,0.003057927532887145,0
182,1,0,0,0,0.09859154929577466,1,1,1,0,0,0,0,0,1,0,0,2,0.6592039800995025,0.07429609969997694,1
183,1,0,1,1,0.4507042253521127,1,0,0,1,0,1,0,1,1,1,0,3,0.5621890547263683,0.2809254558042927,0
184,0,0,0,0,0.16901408450704225,1,0,1,0,1,1,0,0,0,0,1,0,0.6069651741293534,0.12610777752134783,1
185,0,0,1,0,0.0,0,2,0,0,0,0,0,0,0,0,1,0,0.06517412935323384,0.0006923609508423723,1
186,1,0,0,0,0.26760563380281693,1,0,0,0,1,0,0,0,0,0,1,1,0.33383084577114425,0.11597622894068778,0
187,1,0,0,0,0.02816901408450704,0,2,0,0,0,0,1,0,0,0,0,0,0.1208955223880597,0.007310177705977386,0
188,0,0,0,0,0.16901408450704225,1,0,2,2,2,2,2,2,2,1,0,0,0.013930348258706458,0.02607892914839604,0
189,0,0,1,0,0.5492957746478874,1,1,0,0,1,0,0,0,0,0,0,3,0.3815920398009951,0.2723632587122087,0
190,1,0,1,1,0.5915492957746479,1,1,0,1,0,0,1,0,1,1,1,3,0.5338308457711445,0.3640145395799677,0
191,1,0,1,0,0.07042253521126761,1,0,1,0,1,1,0,0,1,0,1,0,0.7238805970149255,0.059104546503577216,1
192,0,0,1,1,0.9577464788732395,1,0,2,2,2,2,2,2,2,2,0,2,0.01492537313432835,0.15654281098546047,0
193,0,0,1,1,1.0,1,1,1,1,1,1,0,1,1,2,0,3,0.9099502487562191,0.9358989153011773,0
194,1,0,1,1,0.8169014084507042,1,0,2,2,2,2,2,2,2,2,0,3,0.01044776119402985,0.1354604200323102,0
195,0,0,1,0,0.26760563380281693,1,0,1,1,1,0,1,1,0,0,1,0,0.7791044776119405,0.2172686360489269,0
196,1,0,1,1,0.323943661971831,1,1,2,2,2,2,2,2,2,2,1,2,0.0582089552238806,0.06561273944149551,0
197,1,0,0,0,0.8169014084507042,1,1,1,0,1,1,1,1,1,0,1,0,0.9263681592039802,0.7501673205631205,0
198,1,0,1,1,1.0,1,1,1,0,1,1,1,1,1,2,1,2,0.9353233830845774,0.9257846757442882,0
199,1,0,0,1,0.0,1,0,2,2,2,2,2,2,2,0,0,1,0.02487562189054727,0.0002250173090237707,0
200,0,0,1,0,0.36619718309859156,1,0,1,1,0,0,1,1,1,1,1,3,0.8323383084577117,0.3072178629125318,0
201,0,0,0,0,0.18309859154929578,1,0,1,0,1,0,1,0,0,0,1,3,0.6149253731343284,0.12618278329102242,0
202,1,0,1,1,0.9859154929577465,1,1,1,1,0,1,0,1,1,2,0,0,0.8686567164179105,0.8523771059312257,0
203,1,0,0,1,0.16901408450704225,1,0,1,0,0,0,0,1,0,0,1,3,0.5975124378109453,0.11714170320793911,0
204,1,0,0,0,0.6056338028169015,1,0,1,0,0,0,0,0,0,0,0,3,0.5034825870646766,0.3392741749365336,0
205,0,0,0,0,0.4507042253521127,1,0,1,0,1,0,1,0,0,1,1,2,0.6139303482587066,0.3076448188322179,0
206,1,0,1,1,1.0,0,2,0,1,1,1,1,0,1,2,1,3,0.3701492537313434,0.48008308331410116,0
207,1,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0.6134328358208957,0.007050542349411495,1
208,0,0,0,0,0.25352112676056343,1,0,1,1,0,1,1,1,1,0,1,0,0.8791044776119404,0.22105354258019855,1
209,1,0,1,0,0.8873239436619719,1,0,1,0,1,1,1,1,1,1,1,3,0.8378109452736321,0.7656704361873993,0
210,1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0,1,3,0.27611940298507465,0.00758135241172398,1
211,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0.06965174129353237,0.0007442880221555502,0
212,1,0,0,1,0.8450704225352113,1,0,2,2,2,2,2,2,2,2,0,1,0.01492537313432835,0.12755596584352646,0
213,0,0,1,1,0.3943661971830986,1,0,2,2,2,2,2,2,2,1,0,0,0.017412935323383064,0.06014885760443112,0
214,1,1,1,0,0.3098591549295775,1,1,1,0,0,0,0,0,1,0,0,0,0.6820895522388061,0.2258308331410109,0
215,0,0,1,0,0.7887323943661972,0,2,0,1,1,1,0,1,1,0,1,2,0.4029850746268657,0.39448996076621284,0
216,1,0,1,1,1.0,0,2,0,1,1,1,1,0,0,2,0,3,0.2686567164179105,0.36014308792984084,0
217,1,0,1,0,0.9154929577464789,0,2,0,1,1,1,1,1,0,2,1,2,0.3815920398009951,0.435079621509347,0
218,1,0,1,1,0.9014084507042254,1,1,0,0,1,1,1,1,1,2,1,2,0.656218905472637,0.6122432494807294,0
219,0,0,0,0,0.09859154929577466,1,0,1,0,0,0,0,1,0,0,1,2,0.6144278606965174,0.06990537733671823,0
220,0,0,0,0,0.04225352112676056,1,0,1,0,0,0,0,0,0,0,1,0,0.5164179104477613,0.028796445880452354,1
